llm-inference-batching-scheduler	alexgshaw/llm-inference-batching-scheduler:20251031	amd64
log-summary-date-ranges	alexgshaw/log-summary-date-ranges:20251031	amd64
mailman	alexgshaw/mailman:20251031	amd64
make-doom-for-mips	alexgshaw/make-doom-for-mips:20251031	amd64
make-mips-interpreter	alexgshaw/make-mips-interpreter:20251031	amd64
mcmc-sampling-stan	alexgshaw/mcmc-sampling-stan:20251031	amd64
merge-diff-arc-agi-task	alexgshaw/merge-diff-arc-agi-task:20251031	amd64
model-extraction-relu-logits	alexgshaw/model-extraction-relu-logits:20251031	amd64
modernize-scientific-stack	alexgshaw/modernize-scientific-stack:20251031	amd64
mteb-leaderboard	alexgshaw/mteb-leaderboard:20251031	amd64
mteb-retrieve	alexgshaw/mteb-retrieve:20251031	amd64
multi-source-data-merger	alexgshaw/multi-source-data-merger:20251031	amd64
nginx-request-logging	alexgshaw/nginx-request-logging:20251031	amd64
openssl-selfsigned-cert	alexgshaw/openssl-selfsigned-cert:20251031	amd64
overfull-hbox	alexgshaw/overfull-hbox:20251031	amd64
password-recovery	alexgshaw/password-recovery:20251031	amd64
path-tracing-reverse	alexgshaw/path-tracing-reverse:20251031	amd64
path-tracing	alexgshaw/path-tracing:20251031	amd64
polyglot-c-py	alexgshaw/polyglot-c-py:20251031	amd64
polyglot-rust-c	alexgshaw/polyglot-rust-c:20251031	amd64
portfolio-optimization	alexgshaw/portfolio-optimization:20251031	amd64
protein-assembly	alexgshaw/protein-assembly:20251031	amd64
prove-plus-comm	alexgshaw/prove-plus-comm:20251031	amd64
pypi-server	alexgshaw/pypi-server:20251031	amd64
pytorch-model-cli	alexgshaw/pytorch-model-cli:20251031	amd64
pytorch-model-recovery	alexgshaw/pytorch-model-recovery:20251031	amd64
qemu-alpine-ssh	alexgshaw/qemu-alpine-ssh:20251031	amd64
qemu-startup	alexgshaw/qemu-startup:20251031	amd64
query-optimize	alexgshaw/query-optimize:20251031	amd64
raman-fitting	alexgshaw/raman-fitting:20251031	amd64
regex-chess	alexgshaw/regex-chess:20251031	amd64
regex-log	alexgshaw/regex-log:20251031	amd64
reshard-c4-data	alexgshaw/reshard-c4-data:20251031	amd64
rstan-to-pystan	alexgshaw/rstan-to-pystan:20251031	amd64
sam-cell-seg	alexgshaw/sam-cell-seg:20251031	amd64
sanitize-git-repo	alexgshaw/sanitize-git-repo:20251031	amd64
schemelike-metacircular-eval	alexgshaw/schemelike-metacircular-eval:20251031	amd64
sparql-university	alexgshaw/sparql-university:20251031	amd64
sqlite-db-truncate	alexgshaw/sqlite-db-truncate:20251031	amd64
sqlite-with-gcov	alexgshaw/sqlite-with-gcov:20251031	amd64
torch-pipeline-parallelism	alexgshaw/torch-pipeline-parallelism:20251031	amd64
torch-tensor-parallelism	alexgshaw/torch-tensor-parallelism:20251031	amd64
train-fasttext	alexgshaw/train-fasttext:20251031	amd64
tune-mjcf	alexgshaw/tune-mjcf:20251031	amd64
video-processing	alexgshaw/video-processing:20251031	amd64
vulnerable-secret	alexgshaw/vulnerable-secret:20251031	amd64
winning-avg-corewars	alexgshaw/winning-avg-corewars:20251031	amd64
write-compressor	alexgshaw/write-compressor:20251031	amd64
