event	test	log_line	category	boundary_path	location	observation
ERROR	seon.config-test/two-clusters-on-one-jvm-have-no-config-bleed	367	outside-step-1 observed boundary; cause unproved	src/seon/config.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.config/effective refused return value at [:seon.config.agent/turn-completion-backstop-ms]: expected the required key :seon.config.agent/turn-completion-backstop-ms with an integer, got a map missing :seon.config.agent/turn-completion-backstop-ms. Fix: Supply :seon.config.agent/turn-completion-backstop-ms with an integer. Called from seon.config-test (config_test.clj:624).
FAIL	seon.instrument-test/semantic-admission-explicitly-declares-every-error-facet	503	foreign boundary: error facet census	src/seon/sci/admit.clj;src/seon/error.clj	instrument_test.clj:1196	(= (error/facet-keys projection) (:seon.instrument/declared declared))
FAIL	seon.instrument-test/semantic-admission-explicitly-declares-every-error-facet	508	foreign boundary: error facet census	src/seon/sci/admit.clj;src/seon/error.clj	instrument_test.clj:1196	(= (error/facet-keys projection) (:seon.instrument/declared declared))
FAIL	seon.instrument-test/semantic-admission-explicitly-declares-every-error-facet	513	foreign boundary: error facet census	src/seon/sci/admit.clj;src/seon/error.clj	instrument_test.clj:1196	(= (error/facet-keys projection) (:seon.instrument/declared declared))
ERROR	seon.db-test/a-write-naming-another-clusters-branch-is-refused-naming-both	545	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact! refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db-test (db_test.clj:1757).
ERROR	seon.db-test/every-database-value-reader-answers-for-all-four-view-shapes	627	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/database-value-identity refused return value at [:db-name]: expected the required key :db-name with a keyword, got a map missing :db-name. Fix: Supply :db-name with a keyword. Called from seon.db-test (db_test.clj:905).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	666	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/connection-identity refused connection at []: expected must be a Datahike connection object, live or released, got a map. Fix: must be a Datahike connection object, live or released Called from seon.db-test (db_test.clj:608).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	704	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/database-value-identity refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:609).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	742	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/read-evidence-current? refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:610).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	780	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/db refused connection at []: expected must be a Datahike connection object, live or released, got a map. Fix: must be a Datahike connection object, live or released Called from seon.db-test (db_test.clj:611).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	818	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/pull refused database-or-selector at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:616).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	856	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/pull refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:618).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	894	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/pull-many refused database-or-selector at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:620).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	932	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/pull-many refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:623).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	970	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/entity refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:624).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	1008	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/datoms refused database-or-index at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:625).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	1046	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/commit-id refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:626).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	1084	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/committed-value-identity refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:628).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	1122	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/history refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:629).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	1160	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/as-of refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:630).
ERROR	seon.db-test/every-public-read-preserves-an-upstream-database-error	1198	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/since refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:631).
ERROR	seon.db-test/non-temporal-reads-return-one-flat-error-before-datahike	1261	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/history refused return value at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.db-test (db_test.clj:1504).
ERROR	seon.db-test/non-unique-writer-rejections-retain-their-datahike-data	1303	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
ERROR	seon.db-test/transaction-wrappers-cannot-hide-a-classified-refusal	1385	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
ERROR	seon.db-test/transaction-wrappers-cannot-hide-a-classified-refusal	1423	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
ERROR	seon.db-test/unique-rejection-names-the-existing-owner-as-data	1475	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
ERROR	seon.fn-test/a-refused-reference-read-refuses-gate-set-derivation	1524	foreign boundary: held fn producer; fixture base corrected	src/seon/fn.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.error/diagnostic refused observation at [:seon.error/at]: expected the required key :seon.error/at with a value satisfying should be an inst, got a map missing :seon.error/at. Fix: Supply :seon.error/at with a value satisfying should be an inst. Called from seon.fn-test (fn_test.clj:1554).
ERROR	seon.fn-test/analyze-form-refuses-an-unresolvable-namespace-reference	1569	foreign boundary: held fn producer; fixture base corrected	src/seon/fn.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.error/diagnostic refused observation at [:seon.error/at]: expected the required key :seon.error/at with a value satisfying should be an inst, got a map missing :seon.error/at. Fix: Supply :seon.error/at with a value satisfying should be an inst. Called from seon.fn (fn.clj:971).
FAIL	my.background-test/poll-and-await-derive-terminal-presence-without-acknowledging	1740	outside-step-1 observed boundary; cause unproved	test/my/background_test.clj	background_test.clj:69	(:db-after written)
ERROR	my.background-test/poll-and-await-derive-terminal-presence-without-acknowledging	1745	outside-step-1 observed boundary; cause unproved	src/seon/background.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.background/poll refused return value at [:seon.effect/id]: expected the required key :seon.effect/id with a string, got a map missing :seon.effect/id. Fix: Supply :seon.effect/id with a string. Called from my.background-test (background_test.clj:73).
ERROR	my.background-test/poll-and-await-derive-terminal-presence-without-acknowledging	1781	outside-step-1 observed boundary; cause unproved	src/seon/background.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.background/poll refused return value at [:seon.effect/id]: expected the required key :seon.effect/id with a string, got a map missing :seon.effect/id. Fix: Supply :seon.effect/id with a string. Called from seon.background (background.clj:87).
FAIL	my.background-test/poll-and-await-derive-terminal-presence-without-acknowledging	1817	outside-step-1 observed boundary; cause unproved	test/my/background_test.clj	background_test.clj:81	"(= ""background-agent"" (get-in (db/pull (clojure.core/deref connection) [#:seon.effect{:notify [:seon.agent/id]}] [:seon.effect/id ""background-result""]) [:seon.effect/notify :seon.agent/id]))"
FAIL	my.edit-test/public-entries-declare-resolvable-io-capabilities	1829	outside-step-1 observed boundary; cause unproved	test/my/edit_test.clj	edit_test.clj:44	(true? (:seon.fn/private? declaration))
FAIL	my.edit-test/public-entries-declare-resolvable-io-capabilities	1834	outside-step-1 observed boundary; cause unproved	test/my/edit_test.clj	edit_test.clj:45	(string? (:seon.fn/spec declaration))
FAIL	my.edit-test/public-entries-declare-resolvable-io-capabilities	1839	outside-step-1 observed boundary; cause unproved	test/my/edit_test.clj	edit_test.clj:44	(true? (:seon.fn/private? declaration))
FAIL	my.edit-test/public-entries-declare-resolvable-io-capabilities	1844	outside-step-1 observed boundary; cause unproved	test/my/edit_test.clj	edit_test.clj:45	(string? (:seon.fn/spec declaration))
FAIL	my.edit-test/public-entries-declare-resolvable-io-capabilities	1849	outside-step-1 observed boundary; cause unproved	test/my/edit_test.clj	edit_test.clj:44	(true? (:seon.fn/private? declaration))
FAIL	my.edit-test/public-entries-declare-resolvable-io-capabilities	1854	outside-step-1 observed boundary; cause unproved	test/my/edit_test.clj	edit_test.clj:45	(string? (:seon.fn/spec declaration))
FAIL	my.fs-test/public-entries-declare-resolvable-io-capabilities	1865	outside-step-1 observed boundary; cause unproved	test/my/fs_test.clj	fs_test.clj:50	(true? (:seon.fn/private? declaration))
FAIL	my.fs-test/public-entries-declare-resolvable-io-capabilities	1870	outside-step-1 observed boundary; cause unproved	test/my/fs_test.clj	fs_test.clj:51	(string? (:seon.fn/spec declaration))
FAIL	my.fs-test/public-entries-declare-resolvable-io-capabilities	1875	outside-step-1 observed boundary; cause unproved	test/my/fs_test.clj	fs_test.clj:50	(true? (:seon.fn/private? declaration))
FAIL	my.fs-test/public-entries-declare-resolvable-io-capabilities	1880	outside-step-1 observed boundary; cause unproved	test/my/fs_test.clj	fs_test.clj:51	(string? (:seon.fn/spec declaration))
FAIL	my.fs-test/public-entries-declare-resolvable-io-capabilities	1885	outside-step-1 observed boundary; cause unproved	test/my/fs_test.clj	fs_test.clj:50	(true? (:seon.fn/private? declaration))
FAIL	my.fs-test/public-entries-declare-resolvable-io-capabilities	1890	outside-step-1 observed boundary; cause unproved	test/my/fs_test.clj	fs_test.clj:51	(string? (:seon.fn/spec declaration))
FAIL	my.fs-test/public-entries-declare-resolvable-io-capabilities	1895	outside-step-1 observed boundary; cause unproved	test/my/fs_test.clj	fs_test.clj:50	(true? (:seon.fn/private? declaration))
FAIL	my.fs-test/public-entries-declare-resolvable-io-capabilities	1900	outside-step-1 observed boundary; cause unproved	test/my/fs_test.clj	fs_test.clj:51	(string? (:seon.fn/spec declaration))
ERROR	my.message-test/a-bad-argument-is-an-error-value-never-a-throw	1913	outside-step-1 observed boundary; cause unproved	src/seon/cluster/message.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.cluster.message/send refused return value at [:my.message/to]: expected the required key :my.message/to with a string, got a map missing :my.message/to. Fix: Supply :my.message/to with a string. Called from my.message-test (message_test.clj:143).
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1952	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1957	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1962	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1967	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1972	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1977	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1982	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1987	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1992	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	1997	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2002	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2007	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2012	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2017	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2022	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2027	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2032	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2037	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2042	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2047	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2052	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2057	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2062	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2067	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2072	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2077	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2082	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2087	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2092	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2097	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2102	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2107	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2112	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2117	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2122	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
FAIL	my.message-test/a-contract-forbidden-argument-is-a-value-the-agent-reads	2127	stale retired-field expectation	test/my/message_test.clj	message_test.clj:194	(keyword? (:seon.error/kind value))
ERROR	my.message-test/send-preserves-routing-until-turn-settlement	2205	outside-step-1 observed boundary; cause unproved	src/seon/cluster/message.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.cluster.message/read refused database at []: expected must be an immutable Datahike database value, got nil. Fix: must be an immutable Datahike database value Called from seon.cluster.message (message.clj:690).
ERROR	my.message-test/the-error-value-is-the-registered-one	2244	outside-step-1 observed boundary; cause unproved	src/seon/cluster/message.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.cluster.message/send refused return value at [:my.message/to]: expected the required key :my.message/to with a string, got a map missing :my.message/to. Fix: Supply :my.message/to with a string. Called from my.message-test (message_test.clj:207).
FAIL	my.note-test/add-upserts-current-content-by-identity	2290	outside-step-1 observed boundary; cause unproved	test/my/note_test.clj	note_test.clj:18	(:db-after written)
ERROR	my.note-test/add-upserts-current-content-by-identity	2298	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
ERROR	my.note-test/add-upserts-current-content-by-identity	2337	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
FAIL	my.note-test/add-upserts-current-content-by-identity	2373	outside-step-1 observed boundary; cause unproved	test/my/note_test.clj	note_test.clj:41	"(= 1 (db/q (quote [:find (count ?note) . :where [?note :my.note/id ""design""]]) (clojure.core/deref connection)))"
FAIL	my.note-test/add-upserts-current-content-by-identity	2377	outside-step-1 observed boundary; cause unproved	test/my/note_test.clj	note_test.clj:45	"(= ""Prefer current facts only."" (db/q (quote [:find ?content . :where [?note :my.note/id ""design""] [?note :my.note/content ?content]]) (clojure.core/deref connection)))"
FAIL	my.note-test/add-upserts-current-content-by-identity	2381	outside-step-1 observed boundary; cause unproved	test/my/note_test.clj	note_test.clj:51	"((seon.schema/projection-validator (seon.schema/handed-projection) :my.note/note) (first (note/notes (clojure.core/deref connection) ""alice"")))"
FAIL	my.note-test/forget-retracts-current-entity-and-history-keeps-content	2388	outside-step-1 observed boundary; cause unproved	test/my/note_test.clj	note_test.clj:18	(:db-after written)
ERROR	my.note-test/forget-retracts-current-entity-and-history-keeps-content	2396	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
FAIL	my.note-test/notes-is-agent-scoped-current-and-whole	2436	outside-step-1 observed boundary; cause unproved	test/my/note_test.clj	note_test.clj:18	(:db-after written)
ERROR	my.note-test/notes-is-agent-scoped-current-and-whole	2444	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
FAIL	my.note-test/rebirth-renders-only-the-current-facts	2484	outside-step-1 observed boundary; cause unproved	test/my/note_test.clj	note_test.clj:18	(:db-after written)
ERROR	my.note-test/rebirth-renders-only-the-current-facts	2492	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
ERROR	my.plan-test/a-refused-derivation-renders-a-typed-line-where-instructions-belong	2539	outside-step-1 observed boundary; cause unproved	src/seon/plan.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.plan/plan refused return value at [:seon.agent/id]: expected the required key :seon.agent/id with a string, got a map missing :seon.agent/id. Fix: Supply :seon.agent/id with a string. Called from my.plan-test (plan_test.clj:90).
ERROR	my.plan-test/compact-reads-and-writes-preserve-ownership-and-dependencies	2583	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
ERROR	my.plan-test/compact-reads-and-writes-preserve-ownership-and-dependencies	2620	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/transact-call refused return value at [:db-before]: expected the required key :db-before with must be an immutable Datahike database value, got a map missing :db-before. Fix: Supply :db-before with must be an immutable Datahike database value. Called from seon.db (db.clj:4457).
